Platform,URL,Date Crawled,Product Title,Current Price,Discounted Price,Discount,Rating Average,Rating Count
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=1tb,3/23/2024,iPhone 15 Pro 1TB (No.00904317),43.990.000₫,41.490.000₫,-5%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=128gb,3/23/2024,iPhone 15 Plus 128GB (No.00904262),25.990.000₫,23.290.000₫,-10%,5-Apr,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/23/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/23/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=128gb,3/23/2024,iPhone 15 128GB (No.00904217),22.990.000₫,20.390.000₫,-11%,5-Apr,26 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=256gb,3/23/2024,iPhone 15 256GB (No.00904219),25.990.000₫,23.690.000₫,-8%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=512gb,3/23/2024,iPhone 15 512GB (No.00904227),31.990.000₫,28.990.000₫,-9%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=256-gb,3/23/2024,Samsung Galaxy S23 Plus 5G 256GB (No.00856559),26.990.000₫,17.990.000₫,,5-May,137 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=512-gb,3/23/2024,Samsung Galaxy S23 Plus 5G 512GB (No.00856565),,29.990.000₫,,5-May,37 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=256-gb,3/23/2024,Samsung Galaxy S23 Ultra 5G 256GB (No.00856570),31.990.000₫,24.990.000₫,,5-May,1192 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=1-tb,3/23/2024,Samsung Galaxy S23 Ultra 5G 1TB (No.00856576),,,,5-May,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=512-gb,3/23/2024,Samsung Galaxy S23 Ultra 5G 512GB (No.00856572),36.990.000₫,32.990.000₫,,5-May,51 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23,3/23/2024,Samsung Galaxy S23 5G 256GB (No.00856552),24.990.000₫,18.990.000₫,,5-May,99 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=256gb,3/24/2024,iPhone 15 Pro Max 256GB (No.00904369),34.990.000₫,30.990.000₫,-11%,5-Apr,64 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=512gb,3/24/2024,iPhone 15 Pro Max 512GB (No.00904373),40.990.000₫,37.990.000₫,-7%,5-Apr,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=1tb,3/24/2024,iPhone 15 Pro Max 1TB (No.00904378),46.990.000₫,44.490.000₫,-5%,5-May,7 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=128gb,3/24/2024,iPhone 15 Pro 128GB (No.00904306),28.990.000₫,26.690.000₫,-7%,5-Apr,39 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=256gb,3/24/2024,iPhone 15 Pro 256GB (No.00904307),31.990.000₫,28.690.000₫,-10%,5-May,25 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=512gb,3/24/2024,iPhone 15 Pro 512GB (No.00904313),37.990.000₫,35.490.000₫,-6%,5-May,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=1tb,3/24/2024,iPhone 15 Pro 1TB (No.00904317),43.990.000₫,41.490.000₫,-5%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=128gb,3/24/2024,iPhone 15 Plus 128GB (No.00904262),25.990.000₫,23.290.000₫,-10%,5-Apr,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/24/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/24/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=128gb,3/24/2024,iPhone 15 128GB (No.00904217),22.990.000₫,20.390.000₫,-11%,5-Apr,26 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=256gb,3/24/2024,iPhone 15 256GB (No.00904219),25.990.000₫,23.690.000₫,-8%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=512gb,3/24/2024,iPhone 15 512GB (No.00904227),31.990.000₫,28.990.000₫,-9%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=256-gb,3/24/2024,Samsung Galaxy S23 Plus 5G 256GB (No.00856559),26.990.000₫,17.990.000₫,,5-May,137 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=512-gb,3/24/2024,Samsung Galaxy S23 Plus 5G 512GB (No.00856565),,29.990.000₫,,5-May,37 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=256-gb,3/24/2024,Samsung Galaxy S23 Ultra 5G 256GB (No.00856570),31.990.000₫,24.990.000₫,,5-May,1192 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=1-tb,3/24/2024,Samsung Galaxy S23 Ultra 5G 1TB (No.00856576),,,,5-May,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=512-gb,3/24/2024,Samsung Galaxy S23 Ultra 5G 512GB (No.00856572),36.990.000₫,32.990.000₫,,5-May,51 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23,3/24/2024,Samsung Galaxy S23 5G 256GB (No.00856552),24.990.000₫,18.990.000₫,,5-May,99 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=256gb,3/25/2024,iPhone 15 Pro Max 256GB (No.00904369),34.990.000₫,30.990.000₫,-11%,5-Apr,64 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=512gb,3/25/2024,iPhone 15 Pro Max 512GB (No.00904373),40.990.000₫,37.990.000₫,-7%,5-Apr,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=1tb,3/25/2024,iPhone 15 Pro Max 1TB (No.00904378),46.990.000₫,44.490.000₫,-5%,5-May,7 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=128gb,3/25/2024,iPhone 15 Pro 128GB (No.00904306),28.990.000₫,26.690.000₫,-7%,5-Apr,39 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=256gb,3/25/2024,iPhone 15 Pro 256GB (No.00904307),31.990.000₫,28.690.000₫,-10%,5-May,25 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=512gb,3/25/2024,iPhone 15 Pro 512GB (No.00904313),37.990.000₫,35.490.000₫,-6%,5-May,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=1tb,3/25/2024,iPhone 15 Pro 1TB (No.00904317),43.990.000₫,41.490.000₫,-5%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=128gb,3/25/2024,iPhone 15 Plus 128GB (No.00904262),25.990.000₫,23.290.000₫,-10%,5-Apr,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/25/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/25/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=128gb,3/25/2024,iPhone 15 128GB (No.00904217),22.990.000₫,20.390.000₫,-11%,5-Apr,26 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=256gb,3/25/2024,iPhone 15 256GB (No.00904219),25.990.000₫,23.690.000₫,-8%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=512gb,3/25/2024,iPhone 15 512GB (No.00904227),31.990.000₫,28.990.000₫,-9%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=256-gb,3/25/2024,Samsung Galaxy S23 Plus 5G 256GB (No.00856559),26.990.000₫,17.990.000₫,,5-May,137 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=512-gb,3/25/2024,Samsung Galaxy S23 Plus 5G 512GB (No.00856565),,29.990.000₫,,5-May,37 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=256-gb,3/25/2024,Samsung Galaxy S23 Ultra 5G 256GB (No.00856571),31.990.000₫,24.990.000₫,,5-May,1192 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=1-tb,3/25/2024,Samsung Galaxy S23 Ultra 5G 1TB (No.00856576),,,,5-May,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=512-gb,3/25/2024,Samsung Galaxy S23 Ultra 5G 512GB (No.00856572),36.990.000₫,32.990.000₫,,5-May,51 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23,3/25/2024,Samsung Galaxy S23 5G 256GB (No.00856550),24.990.000₫,18.990.000₫,,5-May,99 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=256gb,3/26/2024,iPhone 15 Pro Max 256GB (No.00904369),34.990.000₫,30.990.000₫,-11%,5-Apr,64 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=512gb,3/26/2024,iPhone 15 Pro Max 512GB (No.00904373),40.990.000₫,37.990.000₫,-7%,5-Apr,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=1tb,3/26/2024,iPhone 15 Pro Max 1TB (No.00904378),46.990.000₫,44.490.000₫,-5%,5-May,7 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=128gb,3/26/2024,iPhone 15 Pro 128GB (No.00904306),28.990.000₫,26.690.000₫,-7%,5-Apr,39 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=256gb,3/26/2024,iPhone 15 Pro 256GB (No.00904307),31.990.000₫,28.690.000₫,-10%,5-May,25 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=512gb,3/26/2024,iPhone 15 Pro 512GB (No.00904313),37.990.000₫,35.490.000₫,-6%,5-May,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=1tb,3/26/2024,iPhone 15 Pro 1TB (No.00904317),43.990.000₫,41.490.000₫,-5%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=128gb,3/26/2024,iPhone 15 Plus 128GB (No.00904262),25.990.000₫,23.290.000₫,-10%,5-Apr,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/26/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/26/2024,iPhone 15 Plus 256GB (No.00904264),28.990.000₫,26.690.000₫,-7%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=128gb,3/26/2024,iPhone 15 128GB (No.00904217),22.990.000₫,20.390.000₫,-11%,5-Apr,26 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=256gb,3/26/2024,iPhone 15 256GB (No.00904219),25.990.000₫,23.690.000₫,-8%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=512gb,3/26/2024,iPhone 15 512GB (No.00904227),31.990.000₫,28.990.000₫,-9%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=256-gb,3/26/2024,Samsung Galaxy S23 Plus 5G 256GB (No.00856559),26.990.000₫,17.990.000₫,,5-May,137 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=512-gb,3/26/2024,Samsung Galaxy S23 Plus 5G 512GB (No.00856565),,29.990.000₫,,5-May,37 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=256-gb,3/26/2024,Samsung Galaxy S23 Ultra 5G 256GB (No.00856570),31.990.000₫,24.990.000₫,,5-May,1192 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=1-tb,3/26/2024,Samsung Galaxy S23 Ultra 5G 1TB (No.00856576),,,,5-May,29 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-ultra?dung-luong=512-gb,3/26/2024,Samsung Galaxy S23 Ultra 5G 512GB (No.00856572),36.990.000₫,32.990.000₫,,5-May,51 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23,3/26/2024,Samsung Galaxy S23 5G 256GB (No.00856552),24.990.000₫,18.990.000₫,,5-May,99 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=256gb,3/27/2024,iPhone 15 Pro Max 256GB (No.00904369),34.990.000₫,30.890.000₫,-11%,5-Apr,64 đánh giá
